,Year,years.x,Location.2,TP,Sample.ID,AA,TP.norm,years.y,d13C.s,d13C.norm,years,PHE.mean,PHE.norm,X.x,Col.Dis.An,UpInAn.45.Winter,UpInAn.45.Spring,UpInAn.45.Summer,UpInAn.45.Autumn,UpInAn.45.Annual,TUMI.45,LUSI.45,MEI,ONI,PDO,WA.SST.Wi,WA.SST.Su,WA.SST.Sp,WA.SST.Au,WA.SST.An,Col.Dis.low,Col.Dis.high,NOI,Fras.Dis.high,Fras.Dis.low,Fras.Dis.an,Dis.Total,NPGO,X.y,Herring.Biomass,Chinook,Chum,Coho,HarborSeal,HatcherySmolts,HakeBiomass,EulachonLandings,WildProduction,allSmolt
752,1929,1928,Inland,1.306979449,SI_253041,ALA,-2.564988728,1928,-6.77596209,4.713120809,1928,16.63569812,1.77799279,51,-0.362821031,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.400833333,-0.673727835,0.433140093,-0.303903642,0.027990004,-0.129125345,-0.244104822,-0.271053783,NA,-0.329984323,-0.317023004,-0.327706275,-0.321121716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
753,1929,1928,Inland,3.495520588,SI_253042,ALA,-0.461722306,1928,-10.65856209,2.036449843,1928,8.925944569,-1.263273225,51,-0.362821031,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.400833333,-0.673727835,0.433140093,-0.303903642,0.027990004,-0.129125345,-0.244104822,-0.271053783,NA,-0.329984323,-0.317023004,-0.327706275,-0.321121716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
754,1929,1928,Inland,NA,SI_253043,ALA,NA,1928,-11.39286209,1.530222189,1928,17.53223865,2.131651078,51,-0.362821031,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.400833333,-0.673727835,0.433140093,-0.303903642,0.027990004,-0.129125345,-0.244104822,-0.271053783,NA,-0.329984323,-0.317023004,-0.327706275,-0.321121716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,1938,1937,Inland,3.713440079,RM_2361,Glu,-1.046353975,1937,-14.34856477,-0.50744421,1937,14.093963,0.775354691,60,0.007796067,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.155,0.166272318,0.423140182,0.056096651,0.571323694,0.304208211,-0.129821265,0.209466491,NA,-0.25480726,-0.303432997,-0.277232425,0.045073315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
243,1938,1937,Inland,0.159830576,RM_2361,ASP,-1.722244299,1937,-14.34856477,-0.50744421,1937,14.093963,0.775354691,60,0.007796067,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.155,0.166272318,0.423140182,0.056096651,0.571323694,0.304208211,-0.129821265,0.209466491,NA,-0.25480726,-0.303432997,-0.277232425,0.045073315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
404,1938,1937,Inland,3.232092296,RM_2361,PRO,-0.590271022,1937,-14.34856477,-0.50744421,1937,14.093963,0.775354691,60,0.007796067,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.155,0.166272318,0.423140182,0.056096651,0.571323694,0.304208211,-0.129821265,0.209466491,NA,-0.25480726,-0.303432997,-0.277232425,0.045073315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
565,1938,1937,Inland,2.550287575,RM_2361,VAL,-0.00060021,1937,-14.34856477,-0.50744421,1937,14.093963,0.775354691,60,0.007796067,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.155,0.166272318,0.423140182,0.056096651,0.571323694,0.304208211,-0.129821265,0.209466491,NA,-0.25480726,-0.303432997,-0.277232425,0.045073315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
726,1938,1937,Inland,3.057534267,RM_2361,ALA,-0.882642848,1937,-14.34856477,-0.50744421,1937,14.093963,0.775354691,60,0.007796067,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.155,0.166272318,0.423140182,0.056096651,0.571323694,0.304208211,-0.129821265,0.209466491,NA,-0.25480726,-0.303432997,-0.277232425,0.045073315,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,1943,1942,Inland,3.646669115,RM_4934,Glu,-1.128923647,1942,-13.75244138,-0.096475737,1942,14.94922054,1.112728081,65,0.099574681,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.114166667,0.492938832,0.476473146,0.552763241,0.404323559,0.481624695,-0.022539519,0.244366811,NA,-0.125329927,-0.176908758,-0.148916769,0.137179173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,1943,1942,Coastal,3.751669538,SI_274144,Glu,-0.999079026,1942,-13.69384138,-0.056076799,1942,15.84088081,1.464461254,65,0.099574681,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.114166667,0.492938832,0.476473146,0.552763241,0.404323559,0.481624695,-0.022539519,0.244366811,NA,-0.125329927,-0.176908758,-0.148916769,0.137179173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
